file_name	URI	acousticness	danceability	energy	key	liveness	loudness	mode	speechiness	tempo	valence	instrumentalness
13.0.0.0.0/This Town Needs Guns _ 13.0.0.0.1.mp3	spotify:track:7qlFon3Lc8fzwfUrpTP7se	0	0.507	0.29	4	0.302	-12.22	0	0.0266	89.934	0.199	1.62E-05
13.0.0.0.0/This Town Needs Guns _ 2 Birds, 1 Stone and an Empty Stomach.mp3	spotify:track:4LlFUdZ92C08e4tvxiPCzZ	1	0.661	0.36	2	0.0586	-14.337	1	0.0331	107.993	0.286	0.519
13.0.0.0.0/This Town Needs Guns _ In the Branches of Yggdrasil.mp3	spotify:track:3m07rZaXo4jSfJYLE9nMyb	1	0.501	0.682	9	0.38	-8.477	1	0.04	119.184	0.701	0.633
13.0.0.0.0/This Town Needs Guns _ Nice Riff, Clichard.mp3	spotify:track:0RrpmudRiMnINBKGvZ5jsw	0	0.565	0.667	9	0.504	-11.534	0	0.0759	99.985	0.121	0.943
13.0.0.0.0/This Town Needs Guns _ Pygmy Polygamy.mp3	spotify:track:70TmHebt9wItPKiovH7HvP	0	0.725	0.317	2	0.103	-12.575	0	0.0756	119.938	0.849	0.903
50States/Sufjan Stevens _ Chicago.mp3	spotify:track:1yupbrI7ROhigIHpQBevPh	1	0.582	0.464	7	0.0892	-9.657	1	0.0304	124.97	0.446	0
aankhonDekhi/Kailaash Kher (Sagar Desai) {Varun Grover} _ Aaj Laagi Laagi Nai Dhoop.mp3	spotify:track:4qsTPxlKfT56U9dURbxGiN	1	0.692	0.506	11	0.0888	-9.01	1	0.037	129.93	0.671	0
aankhonDekhi/Kailaash Kher (Sagar Desai) {Varun Grover} _ Aayi Bahaar.mp3	spotify:track:4k1Gg1MrXu0cmmTwEsGBdt	1	0.574	0.751	9	0.128	-4.437	1	0.0426	99.944	0.393	0
aankhonDekhi/Mansheel Gujral (Sagar Desai) {Varun Grover} _ Dheeme Re Re.mp3	spotify:track:2n4ok19iydB5HedabXrFvL	1	0.566	0.351	3	0.114	-10.453	1	0.0282	92.077	0.346	0.000113
aankhonDekhi/Ronkini Gupta _ Kaise Sukh Soyein.mp3	spotify:track:14t0AIH2dXgxjQiKyvOdlP	0	0.447	0.344	2	0.167	-11.484	0	0.0369	113.287	0.209	0.0121
aankhonDekhi/Viraj Vaghela (Sagar Desai) _ Ankhon dekhi background score fingerstyle guitar.mp3	spotify:track:4qsTPxlKfT56U9dURbxGiN	1	0.692	0.506	11	0.0888	-9.01	1	0.037	129.93	0.671	0
aashiqui2/Arijit Singh (Jeet Ganguly) {Irshad Kamil} _ Milne Hai Mujhse Aayi.mp3	spotify:track:2iGnFW7m517taq3AJIE6DK	0	0.515	0.707	11	0.134	-5.467	0	0.0426	143.752	0.304	0
aashiqui2/Arijit Singh (Mithoon) _ Tum Hi Ho.mp3	spotify:track:56zZ48jdyY2oDXHVnwg5Di	0	0.528	0.449	5	0.122	-6.25	0	0.025	94.058	0.317	0
aashiqui2/KK, Tulsi Kumar (Jeet Ganguly) {Irshaad Kaamil} _ Piya Aaye Na.mp3	spotify:track:1ELMyeJLDHUz3cK3XTWgEi	0	0.5	0.588	4	0.327	-7.66	0	0.0362	81.973	0.35	4.52E-05
aashiqui2/Mustafa Zahid (Jeet Ganguly) {Sanjay Masoomm} _ Bhula Dena Mujhe.mp3	spotify:track:5nGID22Nq5N82CXqrDch55	1	0.769	0.502	11	0.161	-9.714	1	0.289	81.995	0.646	1E-05
adnanSami/Adnan Sami (Adnan Sami) {Sameer} _ Nain Se Naino Ko Mila.mp3	spotify:track:3zeTPFtnlR72qRnBH3g2xd	1	0.763	0.945	2	0.689	-6.298	1	0.17	92.031	0.963	4.44E-06
adnanSami/Adnan Sami (AR Rahman) {Gulzar} _ Aye Udi Udi.mp3	spotify:track:5dU0yXUXYjP1e6e2s6OSh2	0	0.72	0.838	9	0.0949	-8.483	0	0.134	127.992	0.628	0.00971
adnanSami/Adnan Sami _ Kabhi Nahi.mp3	spotify:track:6K0Ea7pq2trf6SwsfEKkOp	1	0.721	0.375	5	0.112	-16.621	1	0.0683	87.953	0.556	0
advait/Advait x P.N.D.A _ Main So Gaya Hoon.mp3	spotify:track:5Gh9DJWIZHeUyjGS4wMfIr	1	0.477	0.314	0	0.394	-16.737	1	0.0273	90.011	0.417	0.951
advait/Ellie Goulding, Advait  _ Love Me Like You Do - lofi.mp3	spotify:track:53pFqmBPXEUmNaqNGVkXAi	1	0.492	0.212	8	0.119	-21.332	1	0.0348	80.004	0.229	0.359
advait/Nuke,Bri Muso (Advait, Nuke) {Nuke} [Advait] _ Teri Parchhai.mp3	spotify:track:5Gh9DJWIZHeUyjGS4wMfIr	1	0.477	0.314	0	0.394	-16.737	1	0.0273	90.011	0.417	0.951
advait/Sangeetha, P.N.D.A, Advait _ Manzil Ke Is mod Pe.mp3	spotify:track:1MEP8hW0chpEO8eGz3CCa6	1	0.417	0.38	7	0.133	-13.444	1	0.0511	137.597	0.422	0.00336
ageOfAdz/Sufjan Stevens _ Age of Adz.mp3	spotify:track:5EP2pGo97siLzMjlJnKmNK	1	0.467	0.465	1	0.096	-10.592	1	0.0334	99.988	0.323	1E-05
ageOfAdz/Sufjan Stevens _ All For Myself.mp3	spotify:track:5YprRTdFctf1lNmdDcMNAJ	1	0.261	0.378	5	0.104	-14.059	1	0.127	83.729	0.192	0.00704
