# file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_mean,spectral_contrast_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_mean,mfccs_std,chroma_stft_mean,chroma_stft_std
"13.0.0.0.0/This Town Needs Guns _ 13.0.0.0.1.mp3",0.07,0.101,1.309,1.372,99.384,624.682,244.445,729.725,148.313,1059.412,158.34,1059.412,158.34,49.957,29.073,1093.69,536.648,-323.119,112.524,0.998,0.049
"13.0.0.0.0/This Town Needs Guns _ 2 Birds, 1 Stone and an Empty Stomach.mp3",0.063,0.089,1.949,2.718,103.359,1059.773,361.494,1039.02,234.118,1315.367,206.999,1315.367,206.999,50.953,29.679,2058.336,724.627,-273.3,56.86,1.0,0.0
"13.0.0.0.0/This Town Needs Guns _ In the Branches of Yggdrasil.mp3",0.112,0.166,1.183,0.999,143.555,1141.234,527.203,1232.811,209.711,1532.292,149.307,1532.292,149.307,49.312,29.159,2315.337,1095.882,-215.399,55.562,1.0,0.0
"13.0.0.0.0/This Town Needs Guns _ Nice Riff, Clichard.mp3",0.007,0.01,3.422,10.844,129.199,1335.107,286.207,1414.418,144.524,1673.897,109.419,1673.897,109.419,47.821,30.983,3006.651,604.26,-368.73,70.23,1.0,0.0
"13.0.0.0.0/This Town Needs Guns _ Pygmy Polygamy.mp3",0.094,0.129,1.605,1.529,117.454,720.588,258.657,900.823,248.381,1263.308,232.465,1263.308,232.465,50.698,29.855,1360.578,753.834,-296.286,49.692,1.0,0.0
"50States/Sufjan Stevens _ Chicago.mp3",0.053,0.092,2.846,7.729,123.047,866.885,371.899,813.15,346.183,1064.964,353.027,1064.964,353.027,47.544,31.041,1602.826,877.444,-340.726,126.152,1.0,0.0
"aankhonDekhi/Kailaash Kher (Sagar Desai) {Varun Grover} _ Aaj Laagi Laagi Nai Dhoop.mp3",0.041,0.067,4.138,15.051,129.199,1697.567,408.189,1357.891,199.986,1576.818,166.774,1576.818,166.774,51.29,28.987,3311.429,756.915,-312.647,70.079,0.998,0.049
"aankhonDekhi/Kailaash Kher (Sagar Desai) {Varun Grover} _ Aayi Bahaar.mp3",0.04,0.06,1.571,2.1,135.999,1260.464,459.323,1006.325,206.907,1218.382,215.483,1218.382,215.483,51.631,29.031,2255.784,658.726,-358.612,83.863,1.0,0.0
"aankhonDekhi/Mansheel Gujral (Sagar Desai) {Varun Grover} _ Dheeme Re Re.mp3",0.055,0.071,1.412,0.911,92.285,626.89,185.545,889.974,186.482,1240.264,198.266,1240.264,198.266,51.176,28.046,1243.387,615.076,-362.34,57.445,0.995,0.069
"aankhonDekhi/Ronkini Gupta _ Kaise Sukh Soyein.mp3",0.061,0.09,1.606,2.042,112.347,954.642,430.76,998.654,238.876,1312.357,202.874,1312.357,202.874,51.042,28.905,1854.3,880.606,-296.393,82.729,0.998,0.049
"aankhonDekhi/Viraj Vaghela (Sagar Desai) _ Ankhon dekhi background score fingerstyle guitar.mp3",0.065,0.084,1.244,0.524,123.047,644.878,98.012,698.356,111.769,1048.733,144.437,1048.733,144.437,51.103,30.374,999.198,187.607,-308.574,35.963,1.0,0.0
"aashiqui2/Arijit Singh (Jeet Ganguly) {Irshad Kamil} _ Milne Hai Mujhse Aayi.mp3",0.083,0.108,1.341,0.742,143.555,869.819,291.49,1232.323,242.953,1550.95,208.765,1550.95,208.765,50.144,26.338,2219.783,887.199,-288.951,37.788,1.0,0.0
"aashiqui2/Arijit Singh (Mithoon) _ Tum Hi Ho.mp3",0.052,0.068,1.434,1.026,95.703,741.244,94.912,675.301,80.904,939.593,88.968,939.593,88.968,52.115,28.636,1187.38,249.177,-359.942,36.867,1.0,0.0
"aashiqui2/KK, Tulsi Kumar (Jeet Ganguly) {Irshaad Kaamil} _ Piya Aaye Na.mp3",0.022,0.029,1.274,0.638,151.999,1394.146,212.581,1231.782,135.403,1513.523,134.47,1513.523,134.47,55.335,25.79,2570.811,454.119,-359.753,50.956,0.998,0.049
"aashiqui2/Mustafa Zahid (Jeet Ganguly) {Sanjay Masoomm} _ Bhula Dena Mujhe.mp3",0.109,0.158,1.586,1.901,123.047,1138.538,325.46,1109.982,234.782,1389.523,202.19,1389.523,202.19,54.144,26.888,2288.058,817.871,-249.788,52.634,1.0,0.0
"adnanSami/Adnan Sami (Adnan Sami) {Sameer} _ Nain Se Naino Ko Mila.mp3",0.034,0.048,1.909,2.667,123.047,1372.63,339.609,1256.143,240.466,1503.895,232.273,1503.895,232.273,52.722,27.824,2792.919,836.172,-284.683,71.057,1.0,0.0
"adnanSami/Adnan Sami (AR Rahman) {Gulzar} _ Aye Udi Udi.mp3",0.013,0.019,2.129,4.062,107.666,522.234,232.073,1001.947,237.251,1440.484,209.322,1440.484,209.322,45.724,26.519,1075.932,815.96,-489.865,79.731,1.0,0.0
"adnanSami/Adnan Sami _ Kabhi Nahi.mp3",0.006,0.017,6.323,47.95,92.285,1406.82,572.003,1325.904,221.987,1571.224,172.498,1571.224,172.498,43.626,29.254,2852.865,1004.576,-433.783,109.79,1.0,0.0
"advait/Advait x P.N.D.A _ Main So Gaya Hoon.mp3",0.038,0.049,0.921,0.07,123.047,835.816,139.614,742.804,60.814,966.953,80.114,966.953,80.114,52.376,27.292,1500.621,180.435,-342.454,53.3,1.0,0.0
"advait/Ellie Goulding, Advait  _ Love Me Like You Do - lofi.mp3",0.022,0.03,1.552,1.39,123.047,623.538,150.924,731.272,162.293,997.982,181.057,997.982,181.057,47.623,31.797,1262.928,378.509,-382.432,68.671,0.998,0.049
"advait/Nuke,Bri Muso (Advait, Nuke) {Nuke} [Advait] _ Teri Parchhai.mp3",0.07,0.088,0.924,-0.083,117.454,426.097,95.461,533.858,153.667,867.313,222.049,867.313,222.049,48.965,30.372,689.011,194.264,-365.296,27.858,1.0,0.0
"advait/Sangeetha, P.N.D.A, Advait _ Manzil Ke Is mod Pe.mp3",0.131,0.181,1.771,1.986,135.999,913.791,376.95,1073.89,277.709,1395.759,257.173,1395.759,257.173,50.946,28.634,1938.972,942.001,-200.955,39.674,1.0,0.0
"ageOfAdz/Sufjan Stevens _ Age of Adz.mp3",0.098,0.135,1.303,1.158,99.384,1376.476,736.677,1174.127,265.419,1435.871,223.801,1435.871,223.801,47.556,29.637,2595.527,1224.242,-199.307,150.358,1.0,0.0
"ageOfAdz/Sufjan Stevens _ All For Myself.mp3",0.033,0.046,3.016,6.415,123.047,533.394,102.964,566.626,93.054,824.89,112.014,824.89,112.014,47.798,32.711,896.992,245.645,-373.504,43.307,1.0,0.0
"ageOfAdz/Sufjan Stevens _ Bad Communication.mp3",0.016,0.041,3.344,13.053,123.047,368.345,372.925,639.179,253.513,1072.258,240.24,1072.258,240.24,43.134,25.801,647.504,760.414,-540.226,139.955,0.998,0.049
"ageOfAdz/Sufjan Stevens _ Futile Devices.mp3",0.041,0.053,1.115,0.254,143.555,698.723,107.776,666.985,104.245,912.519,121.353,912.519,121.353,49.888,31.352,1221.647,285.156,-365.962,29.439,1.0,0.0
"ageOfAdz/Sufjan Stevens _ Impossible Soul.mp3",0.034,0.059,1.598,2.632,60.093,272.757,72.838,423.095,140.424,745.848,249.123,745.848,249.123,48.034,27.484,390.289,159.34,-517.476,67.472,1.0,0.0
"ageOfAdz/Sufjan Stevens _ Too Much.mp3",0.041,0.056,2.219,3.426,103.359,1007.916,374.831,844.57,212.592,1043.869,236.273,1043.869,236.273,48.455,31.475,1868.238,626.827,-259.402,53.738,1.0,0.0
"ageOfAdz/Sufjan Stevens _ Vesuvius.mp3",0.053,0.068,0.983,0.118,112.347,286.848,50.057,309.835,93.1,591.517,131.476,591.517,131.476,51.608,27.709,401.263,152.014,-460.063,28.938,1.0,0.0
"agnee/Agnee _ Aahatein.mp3",0.028,0.037,1.401,0.973,143.555,1152.872,235.764,940.061,98.197,1144.841,101.658,1144.841,101.658,54.769,26.571,2137.947,323.819,-344.095,47.829,1.0,0.0
"agnee/Agnee _ Kaise Ho Tum.mp3",0.019,0.026,1.472,1.135,143.555,489.18,82.898,578.778,61.096,816.081,66.511,816.081,66.511,51.447,28.961,960.35,184.063,-432.41,36.639,1.0,0.0
"agnee/Agnee _ Karvan.mp3",0.048,0.061,0.955,-0.0,117.454,443.684,118.603,579.507,112.63,865.906,127.467,865.906,127.467,51.03,27.891,758.968,272.63,-362.297,36.15,1.0,0.0
"agnee/Agnee _ Sadaa.mp3",0.027,0.049,1.967,4.528,86.133,259.013,282.817,440.548,465.924,646.244,664.482,646.244,664.482,33.373,25.644,443.165,581.044,-483.144,137.218,0.498,0.5
"agnee/Agnee _ Shaam Tanha.mp3",0.04,0.073,5.201,25.19,123.047,994.387,402.61,1189.76,218.228,1509.037,180.516,1509.037,180.516,49.259,29.432,2159.739,884.806,-288.532,61.122,1.0,0.0
"agnee/Agnee _ Ujale Baaz.mp3",0.051,0.082,2.735,6.755,143.555,1128.885,371.873,1117.32,300.383,1359.659,294.816,1359.659,294.816,48.608,28.554,2364.848,866.395,-244.664,72.953,0.998,0.049
"ajoyChokroborty/Ajoy Chakraborthy, Parveen Sultana (Uttam Singh) {Anand Baksh} _ Aan Milo Sajna.mp3",0.142,0.205,1.4,1.497,123.047,1254.536,150.009,1101.497,84.193,1368.834,84.722,1368.834,84.722,48.639,32.455,2460.22,313.278,-179.308,76.133,1.0,0.0
"ajoyChokroborty/Ajoy Chakraborty _ Eri Aali Piya Bin - Raag Yaman.mp3",0.075,0.105,2.094,3.191,135.999,1601.558,436.629,1306.724,170.702,1545.483,138.448,1545.483,138.448,51.508,29.583,3184.041,786.571,-217.478,68.281,1.0,0.0
"ajoyChokroborty/Ajoy Chokroborty _ Badra Re Tu.mp3",0.145,0.188,1.014,0.206,161.499,971.823,236.651,1111.746,149.547,1406.625,144.779,1406.625,144.779,52.111,27.641,2143.744,506.026,-175.804,54.991,1.0,0.0
"ajoyChokroborty/Ajoy Chokroborty _ Khelun Piya Sang Hori.mp3",0.062,0.102,2.277,5.628,151.999,974.562,395.573,1117.616,315.396,1459.444,264.551,1459.444,264.551,48.256,29.61,2015.981,905.594,-287.319,118.128,0.998,0.049
"alec/Alec Benjamin _ Let Me Down Slowly.mp3",0.034,0.056,1.907,3.46,143.555,585.396,100.626,813.373,124.521,1141.414,160.639,1141.414,160.639,50.869,29.44,1088.255,296.327,-376.128,55.325,1.0,0.0
"alec/Alec Benjamin _ Mind Is A Prison.mp3",0.092,0.133,2.005,2.874,143.555,742.853,601.555,738.499,489.191,1001.942,516.941,1001.942,516.941,51.332,28.926,1335.033,1179.502,-287.985,100.87,1.0,0.0
"alec/Alec Benjamin _ Paper Crown.mp3",0.116,0.186,2.096,4.056,135.999,1115.885,509.041,1119.647,388.575,1369.745,434.95,1369.745,434.95,46.299,30.469,2331.435,1050.886,-198.503,124.766,0.928,0.259
"aloknandaDasgupta/Alokananda Dasgupta _ Escape.mp3",0.003,0.004,2.333,5.009,129.199,802.882,333.04,1232.94,266.539,1551.307,197.206,1551.307,197.206,48.428,30.87,2001.656,1006.159,-663.909,85.282,0.998,0.049
"aloknandaDasgupta/Alokananda Dasgupta _ I Am Trapped .mp3",0.013,0.02,1.667,2.335,117.454,278.168,103.609,466.259,106.239,797.78,167.309,797.78,167.309,50.519,26.12,402.298,160.381,-528.026,80.923,0.964,0.186
"aloknandaDasgupta/Alokananda Dasgupta _ Sacred Games Background Score - Suspense.mp3",0.015,0.02,1.214,0.521,123.047,351.697,86.99,624.826,93.666,977.573,98.707,977.573,98.707,48.494,29.365,631.477,272.087,-488.814,39.237,1.0,0.0
"aloknandaDasgupta/Alokananda Dasgupta _ Tope Theme.mp3",0.035,0.074,3.93,17.44,123.047,1499.07,572.722,1382.944,429.403,1604.851,461.442,1604.851,461.442,43.306,31.228,3144.572,1133.069,-289.193,116.94,0.935,0.246
"aloknandaDasgupta/Tejas Menon, Aloknanda Dasgupta {Rajeshwari Dasgupta} _ Dheemi.mp3",0.065,0.081,0.892,-0.157,151.999,653.67,198.415,996.297,233.399,1424.699,216.7,1424.699,216.7,49.892,29.574,1145.685,731.357,-325.328,34.733,1.0,0.0
"aman/Aman _ Abh Mera Kaha Thikana.mp3",0.022,0.028,0.974,-0.009,123.047,1620.182,141.573,1344.078,94.184,1576.032,96.879,1576.032,96.879,53.214,27.73,3132.46,294.443,-317.501,27.254,1.0,0.0
"aman/Aman, Advait _ Dil Ko Kaise Samjhau.mp3",0.076,0.144,3.27,9.938,103.359,1384.914,520.447,1230.904,149.97,1488.522,124.958,1488.522,124.958,51.018,26.87,2752.42,784.085,-235.049,57.775,1.0,0.0
"aman/Aman, Advait _ Tu Hai Kahaan.mp3",0.031,0.044,1.944,2.713,112.347,703.683,137.413,839.268,149.684,1198.148,141.672,1198.148,141.672,53.212,28.079,1193.152,466.301,-351.178,42.699,1.0,0.0
"aman/Aman _ Bombay aur Baarish.mp3",0.044,0.058,3.709,13.976,117.454,556.03,82.735,541.327,95.119,798.104,130.657,798.104,130.657,50.174,28.988,944.329,205.21,-381.817,28.009,1.0,0.0
"aman/Aman _ Khwab (P.N.D.A's remix).mp3",0.023,0.029,0.935,-0.072,135.999,613.346,52.284,547.307,48.83,769.895,67.4,769.895,67.4,52.038,29.162,1071.613,112.272,-435.928,18.293,1.0,0.0
"amberRun/Amber Run _ 5AM.mp3",0.044,0.062,2.054,2.903,123.047,569.354,172.456,600.591,117.248,840.138,118.455,840.138,118.455,50.664,29.926,1033.464,408.387,-349.82,49.202,1.0,0.0
"amberRun/Amber Run _ I Found.mp3",0.002,0.006,6.446,55.769,89.103,358.686,328.436,758.726,441.221,1133.004,591.928,1133.004,591.928,39.967,28.468,641.312,954.062,-645.69,95.2,0.825,0.38
