folder	file	album	artist	title	genre	description
../music/13.0.0.0.0	This Town Needs Guns _ 13.0.0.0.1.mp3	13.0.0.0.0	This Town Needs Guns	13.0.0.0.1	math rock	7qlFon3Lc8fzwfUrpTP7se
../music/13.0.0.0.0	This Town Needs Guns _ 2 Birds, 1 Stone and an Empty Stomach.mp3	13.0.0.0.0	This Town Needs Guns	2 Birds, 1 Stone and an Empty Stomach	math rock	4LlFUdZ92C08e4tvxiPCzZ
../music/13.0.0.0.0	This Town Needs Guns _ In the Branches of Yggdrasil.mp3	13.0.0.0.0	This Town Needs Guns	In the Branches of Yggdrasil	math rock	3m07rZaXo4jSfJYLE9nMyb
../music/13.0.0.0.0	This Town Needs Guns _ Nice Riff, Clichard.mp3	13.0.0.0.0	This Town Needs Guns	Nice Riff, Clichard	math rock	0RrpmudRiMnINBKGvZ5jsw
../music/13.0.0.0.0	This Town Needs Guns _ Pygmy Polygamy.mp3	13.0.0.0.0	This Town Needs Guns	Pygmy Polygamy	math rock	70TmHebt9wItPKiovH7HvP
../music/22brk	Oh Wonder _ 22 Break.mp3	22brk	Oh Wonder	22 Break	rythm blues experimental	5Hrm6lirPrmdS4fi9r7fGo
../music/22brk	Oh Wonder _ Baby.mp3	22brk	Oh Wonder	Baby	rythm blues experimental	7DWBzDp30bDOEoeHAvT43D
../music/22brk	Oh Wonder _ Dinner.mp3	22brk	Oh Wonder	Dinner	rythm blues experimental	1aQxmFOiIQKIpZwt0XsR24
../music/22brk	Oh Wonder _ Don't Let The Neighbourhood Hear.mp3	22brk	Oh Wonder	Don't Let The Neighbourhood Hear	rythm blues experimental	44UlqXgZRcPke5vMebfzym
../music/22brk	Oh Wonder _ Down.mp3	22brk	Oh Wonder	Down	rythm blues experimental	5VHhr1pQdbVpeb17RGBuDH
../music/22brk	Oh Wonder _ Free.mp3	22brk	Oh Wonder	Free	rythm blues experimental	6uYReR6tgFwIqRWS63DwDX
../music/22brk	Oh Wonder _ Kicking The Doors Down.mp3	22brk	Oh Wonder	Kicking The Doors Down	rythm blues experimental	6ZF0AKkP5AuoXncy6HJLb4
../music/22brk	Oh Wonder _ Love Me Now.mp3	22brk	Oh Wonder	Love Me Now	rythm blues experimental	6qWxA4vpPn1A9JCxAO5Cem
../music/22brk	Oh Wonder _ Rollercoaster Baby.mp3	22brk	Oh Wonder	Rollercoaster Baby	rythm blues experimental	5EBx6sCm2HJLAtrAP4bvSa
../music/22brk	Oh Wonder _ Twenty Fourteen.mp3	22brk	Oh Wonder	Twenty Fourteen	rythm blues experimental	7F7oLMhXmjq8KinlsaFcF3
