../music/emo	100 gecs _ Hand Crushed by a Mallet.mp3	emo	100 gecs	 Hand Crushed by a Mallet	bubblegum bass	,[bubblegum bass,,experimental,,alternative rnb,,Nightcore,,electronic],
../music/emo	Aaroh _ Na Kaho.mp3	emo	Aaroh	 Na Kaho	pakistani	[pakistani]
../music/emo	Abhijeet Sawant _ Junoon.mp3	emo	Abhijeet Sawant	 Junoon	junoon abhijeet	,[junoon abhijeet,,pop,,Indian,,buy,,Hindi],
../music/orcheastrals	Abonti _ Sheesh Priya's Medley.mp3	orcheastrals	Abonti	 Sheesh Priya's Medley	NO TRACK	[NO TRACK]
../music/emo	Accept _ Kill the Pain.mp3	emo	Accept	 Kill the Pain	heavy metal	,[heavy metal,,Ballad,,rock,,metal,,Power ballad],
../music/emo	Adam Lambert _ Runnin.mp3	emo	Adam Lambert	 Runnin	pop	,[pop,,glam,,my soundtrack],
../music/emo	Adele _ Skyfall.mp3	emo	Adele	 Skyfall	Soundtrack	,[Soundtrack,,pop,,james bond,,female vocalists,,Adele],
../music/emo	,Adnan Dhool,, Momina Mustehsan _ Awari.mp3,	emo	,Adnan Dhool,, Momina Mustehsan,	 Awari	NO ALBUM	[NO ALBUM]
../music/adnanSami	Adnan Sami _ Kabhi Nahi.mp3	adnan Sami	Adnan Sami	 Kabhi Nahi	Asian	,[Asian,,music,,Mumbai,,adnan sami,,swati],
../music/adnanSami	Adnan Sami (Adnan Sami) {Sameer} _ Nain Se Naino Ko Mila.mp3	adnan Sami	Adnan Sami (Adnan Sami) {Sameer}	 Nain Se Naino Ko Mila	NO ALBUM	[NO ALBUM]
../music/adnanSami	Adnan Sami (AR Rahman) {Gulzar} _ Aye Udi Udi.mp3	adnan Sami	Adnan Sami (AR Rahman) {Gulzar}	 Aye Udi Udi	NO ALBUM	[NO ALBUM]
../music/taareZameenPar	,Adnan Sami,, Auriel Cordo,, Ananya Wadekar (Shailendra Barve) {Prasoon Joshi} _ Mera Jahan.mp3,	taare ZameenPar	,Adnan Sami,, Auriel Cordo,, Ananya Wadekar (Shailendra Barve) {Prasoon Joshi},	 Mera Jahan	NO ALBUM	[NO ALBUM]
../music/emo	Adona _ Hit Me With Your Best Shot.mp3	emo	Adona	 Hit Me With Your Best Shot	cover	[cover]
../music/advait	Advait x P.N.D.A _ Main So Gaya Hoon.mp3	advait	Advait x P.N.D.A	 Main So Gaya Hoon	NO TRACK	[NO TRACK]
../music/orcheastrals	Advaita _ Ghir Ghir - Coke Studio India Season 1.mp3	orcheastrals	Advaita	 Ghir Ghir - Coke Studio India Season 1	NO TRACK	[NO TRACK]
../music/mixtapes	Aesthetics اردو _ Moseeqi 00.mp3	mixtapes	Aesthetics اردو	 Moseeqi 00	NO TRACK	[NO TRACK]
../music/orcheastrals	Agam _ Malhar Jam - Coke Studio India Season 2.mp3	orcheastrals	Agam	 Malhar Jam - Coke Studio India Season 2	NO TRACK	[NO TRACK]
../music/melodeath	Age of the Sun |Melodeath By Countries: Switzerland| _ What We Are.mp3	melodeath	Age of the Sun |Melodeath By Countries: Switzerland|	 What We Are	NO TRACK	[NO TRACK]
../music/agnee	Agnee _ Kaise Ho Tum.mp3	agnee	Agnee	 Kaise Ho Tum	romantic	,[romantic,,indian rock,,Desi Rock],
../music/agnee	Agnee _ Karvan.mp3	agnee	Agnee	 Karvan	NO ALBUM	[NO ALBUM]
../music/agnee	Agnee _ Sadaa.mp3	agnee	Agnee	 Sadaa	NO ALBUM	[NO ALBUM]
../music/agnee	Agnee _ Ujale Baaz.mp3	agnee	Agnee	 Ujale Baaz	NO ALBUM	[NO ALBUM]
../music/agnee	Agnee _ Aahatein.mp3	agnee	Agnee	 Aahatein	NO ALBUM	[NO ALBUM]
../music/agnee	Agnee _ Shaam Tanha.mp3	agnee	Agnee	 Shaam Tanha	NO ALBUM	[NO ALBUM]
