mouwii,Looks lyk glass
mouwii,Tired
Mustafa Zahid,Tera Mera Rishta
Roxen,Toh Phir Aao
Roxen,Hum Jee Lenge
Mustafa Zahid,Anjanay Raston Main
Lifafa,Mere Saath
Lifafa,Jaago
Lifafa,Chaku Chidiya
Lifafa,Nikamma
Petercat Recording Company,Soulless Friends
Lifafa,MJRH
Lifafa,Candy
Veena Srivani,Cheap Thrills - cover
Veena Srivani,Bhagyada Lakshmi Baramma
Veena Srivani,Breathless - cover
Veena Srivani,Vasantavarnam
Sigur Rós,Olsen olsen
Sigur Rós,20º16’56.9”W
Sigur Rós,Sæglópur
Sigur Rós,Route One
Daniel Jang,River Flows In You -  cover
Marco Cirillo,Quiet Place
Donovan M Jones,Murdering a CLassic
Nilanjana Ghosh Dastidar,Piya tu kaahe rootha re - cover
DSharp,Apeshit
Wageshan,Love Me Like You Do - cover
Eddie van der Meer,Unravel
Lukáš Kmiť,Nokia Call
Rob Scallon,Theorbo Metal
Mamadou Diabate,Jamanadiara
Beyond The Guitar,Time - cover
Tariq Harb,Toccata and Fugue
Satinath Mukherjee,Maramiya Tumi Chole Gele
Satinath Mukherjee,Sonar Hate Sonar Kankon
Danish Pratap Sood,Fly Me To The Moon - cover
Danish Pratap Sood,Floated By - cover
Sufjan Stevens,Video Game
Sufjan Stevens,Sugar
Sufjan Stevens,America
Farhat Tarannum,Oliro Kotha Shune - cover
Farhat Tarannum,Kabhi Kabhi Mere Dil Mein - cover
Farhat Tarannum,Bhalobeshe Shokhi - cover
Farhat Tarannum,O Je Maane Na Maana - cover
Yutaka Yamada,Death Note Suite
Toby Fox,Undertale: Megalovania
Toshio Masuda,Naruto: Sadness and Sorrow
Vaibhav Bundhoo,Andhe
Vaibhav Bundhoo,They Ran Away
Vaibhav Bundhoo,Adhoori Dhun
Vaibhav Bundhoo,Mere Sapno
Vishal Dadlani,Ud Da Punjab
Kanika Kapoor,Da Da Dasse
Babu Haabi,Chitta Ve
Shahid Mallya,Ikk Kudi
Jal The Band,Sajni
Atif Aslam,Jaane De
Atif Aslam,Sehmi hai dhadkan
Jal The Band,Bikhra hoon Main
Jal The Band,Jal Pari
Atif Aslam,Yakeen
Jal The Band,More Piya
Jal The Band,Hamein Itna Pyar
Jal The Band,Ik Aarzu (Coke Studio Pakistan)
Atif Aslam,Old Bollywood Medley
Jal The Band,Dil Haari
Atif Aslam,O Saathi
Jal The Band,Kash Ye Pal
Atif Aslam,Yaad Tehari
Atif Aslam,Kuch Is Tarah
Atif Aslam,Mere Watan
Jal The Band,Dil Haray
Parvaaz,Shabaan
Parvaaz,Ziyankar
Parvaaz,Roz Roz
Parvaaz,Color White
Parvaaz,Baran
Parvaaz,Shaad
Parvaaz,Ab Ki Ye Subah
Robert LaSalle,Home Pt 2 (It's Time To Go Home)
Clint Mansell,Doom Patrol Main Titles
Raghu Dixit,Ambar
Raghu Dixit,Rain Song
Fall Out Boy,American Beauty
Fall Out Boy,Centuries
Fall Out Boy,Immortals
