folder,file,album,artist,title
"../music/mouwii","mouwii _ Looks lyk glass.mp3","mouwii","mouwii", "Looks lyk glass"
"../music/mouwii","mouwii _ Tired.mp3","mouwii","mouwii", "Tired"
"../music/mustafa","Mustafa Zahid _ Tera Mera Rishta.mp3","mustafa","Mustafa Zahid", "Tera Mera Rishta"
"../music/mustafa","Roxen, Mustafa Zaahid _ Toh Phir Aao.mp3","mustafa","Roxen, Mustafa Zaahid", "Toh Phir Aao"
"../music/mustafa","Roxen, Mustafa Zaahid _ Hum Jee Lenge.mp3","mustafa","Roxen, Mustafa Zaahid", "Hum Jee Lenge"
"../music/mustafa","Mustafa Zahid _ Anjanay Raston Main.mp3","mustafa","Mustafa Zahid", "Anjanay Raston Main"
"../music/lifafa","Lifafa _ Mere Saath.mp3","lifafa","Lifafa", "Mere Saath"
"../music/lifafa","Lifafa _ Jaago.mp3","lifafa","Lifafa", "Jaago"
"../music/lifafa","Lifafa _ Chaku Chidiya.mp3","lifafa","Lifafa", "Chaku Chidiya"
"../music/lifafa","Lifafa _ Nikamma.mp3","lifafa","Lifafa", "Nikamma"
"../music/lifafa","Petercat Recording Company _ Soulless Friends.mp3","lifafa","Petercat Recording Company", "Soulless Friends"
"../music/lifafa","Lifafa _ MJRH.mp3","lifafa","Lifafa", "MJRH"
"../music/lifafa","Lifafa _ Candy.mp3","lifafa","Lifafa", "Candy"
"../music/lifafa/unsorted","Bonafide,Bilal Saeed _ Memories.mp3","unsorted","Bonafide,Bilal Saeed", "Memories"
"../music/lifafa/unsorted","The Spinto Band _ Muesli.mp3","unsorted","The Spinto Band", "Muesli"
"../music/lifafa/unsorted","Shradhha Kapoor _ Galliyan.mp3","unsorted","Shradhha Kapoor", "Galliyan"
"../music/lifafa/unsorted","Soft Metal _ Mystic Trip to Al-Dzazir.mp3","unsorted","Soft Metal", "Mystic Trip to Al-Dzazir"
"../music/lifafa/unsorted","Binary One _ Returning.mp3","unsorted","Binary One", "Returning"
"../music/lifafa/unsorted","America _ A Horse With No Name.mp3","unsorted","America", "A Horse With No Name"
"../music/lifafa/unsorted","aravasu-Jaane Bhi Do Yaaro.mp3","unsorted","aravasu-Jaane Bhi Do Yaaro.mp3", "aravasu-Jaane Bhi Do Yaaro"
"../music/lifafa/unsorted","unkown _ Snowfall.mp3","unsorted","unkown", "Snowfall"
"../music/lifafa/unsorted","Tulsi Kumar (Hanif Shaikh) _ Mujhe Teri.mp3","unsorted","Tulsi Kumar (Hanif Shaikh)", "Mujhe Teri"
"../music/lifafa/unsorted","Prakriti Kakar (Amaal Mallik) {Manoj Muntashir} _ Hai Zaroori - 1st verse.mp3","unsorted","Prakriti Kakar (Amaal Mallik) {Manoj Muntashir}", "Hai Zaroori - 1st verse"
"../music/lifafa/unsorted","Halo _ Beyoncé.mp3","unsorted","Halo", "Beyoncé"
"../music/lifafa/unsorted","unknown _ Linus and Lucy.mp3","unsorted","unknown", "Linus and Lucy"
"../music/veenaSrivani","Veena Srivani _ Cheap Thrills - cover.mp3","veena Srivani","Veena Srivani", "Cheap Thrills - cover"
"../music/veenaSrivani","Veena Srivani, Purandara Dasa _ Bhagyada Lakshmi Baramma.mp3","veena Srivani","Veena Srivani, Purandara Dasa", "Bhagyada Lakshmi Baramma"
"../music/veenaSrivani","Veena Srivani _ Breathless - cover.mp3","veena Srivani","Veena Srivani", "Breathless - cover"
"../music/veenaSrivani","Veena Srivani _ Vasantavarnam.mp3","veena Srivani","Veena Srivani", "Vasantavarnam"
"../music/sigur","Sigur Rós _ Olsen olsen.mp3","sigur","Sigur Rós", "Olsen olsen"
"../music/sigur","Sigur Rós _ 65º38’27.9”N _ 20º16’56.9”W.mp3","sigur","Sigur Rós", "20º16’56.9”W"
"../music/sigur","Sigur Rós _ Sæglópur.mp3","sigur","Sigur Rós", "Sæglópur"
"../music/sigur","Sigur Rós _ Route One.mp3","sigur","Sigur Rós", "Route One"
"../music/string","Daniel Jang (Yiruma) _ River Flows In You -  cover.mp3","string","Daniel Jang (Yiruma)", "River Flows In You -  cover"
"../music/string","Marco Cirillo _ Quiet Place.mp3","string","Marco Cirillo", "Quiet Place"
"../music/string","Donovan M Jones _ Murdering a CLassic.mp3","string","Donovan M Jones", "Murdering a CLassic"
"../music/string","Nilanjana Ghosh Dastidar (Javed Bashir) _ Piya tu kaahe rootha re - cover.mp3","string","Nilanjana Ghosh Dastidar (Javed Bashir)", "Piya tu kaahe rootha re - cover"
"../music/string","DSharp (The Carters) _ Apeshit.mp3","string","DSharp (The Carters)", "Apeshit"
"../music/string","Wageshan _ Love Me Like You Do - cover.mp3","string","Wageshan", "Love Me Like You Do - cover"
"../music/string","Eddie van der Meer (Tōru  Kitajima) _ Unravel.mp3","string","Eddie van der Meer (Tōru  Kitajima)", "Unravel"
"../music/string","Lukáš Kmiť _ Nokia Call.mp3","string","Lukáš Kmiť", "Nokia Call"
"../music/string","Rob Scallon _ Theorbo Metal.mp3","string","Rob Scallon", "Theorbo Metal"
"../music/string","Mamadou Diabate _ Jamanadiara.mp3","string","Mamadou Diabate", "Jamanadiara"
"../music/string","Beyond The Guitar {Hans Zimmer} _ Time - cover.mp3","string","Beyond The Guitar {Hans Zimmer}", "Time - cover"
"../music/string","Tariq Harb {Bach} _ Toccata and Fugue, BWV 565.mp3","string","Tariq Harb {Bach}", "Toccata and Fugue, BWV 565"
