String,Uri
['Avicii - Addicted To You'],spotify:track:4eDYMhIin1pSLIG96f1aD0
['Avicii - Broken Arrows'],spotify:track:260jSxvzkFt71ksvkcy2ke
['Avicii - Feeling Good'],spotify:track:7rc6L3UtM0uvwfpsl07GBL
['Avicii - Friend Of Mine'],spotify:track:79UX8fkSsowWI1HOd8VoYt
['Avicii - Hey Brother'],spotify:track:4lhqb6JvbHId48OUJGwymk
['Avicii - Pure Grinding'],spotify:track:3uEu7hcvgrSOrgnMxzqugh
['Avicii - Silhouettes'],spotify:track:06h3McKzmxS8Bx58USHiMq
['Avicii - The Nights'],spotify:track:0ct6r3EGTcMLPtrXHDvVjc
['Avicii - Waiting For Love'],spotify:track:2P4OICZRVAQcYAV2JReRfj
['Avicii - Wake Me Up'],spotify:track:0nrRP2bk19rLc0orkWPQk2
['Babani Soundsystem - Zistwar Fer Per'],spotify:track:3GUPBRo42rXDJuMfp968xV
['Echo and The Bunnymen - Bring on The Dancing Horses'],spotify:track:5uh98HlgvoJd2zRWAduj2Y
['Echo and The Bunnymen - Crystal Days'],spotify:track:3QuKnygcetUPu8z3Cw6Rg3
['Echo and the bunnymen - My Kingdom'],spotify:track:2DYdxniURYpM3B7hWV5Cos
['Echo and The Bunnymen - Nocturnal Me'],spotify:track:5V9FrOjiLqd9eyiny1s78a
['Echo and The Bunnymen - Ocean Rain'],spotify:track:1KtwAeCarQx3VA5fcnQU8K
['Echo and The Bunnymen - Seven Seas'],spotify:track:2L7FTi2Fopo0ZJX0MkUXKS
['Echo and the Bunnymen - Silver'],spotify:track:5fHQo2XBn6gQjlI7YbbVhl
['Echo and The Bunnymen - The Killing Moon'],spotify:track:15049rGLXHwrWtE4euUb5C
['Echo and The Bunnymen - The Yo Yo Man'],spotify:track:4MiRCn3rNIyf1r6dPzDvYO
['Echo and The Bunnymen - Thorn of Crowns'],spotify:track:6TlDRQfDuKWw3FEDNPq1zv
['Echosmith - Cool Kids'],spotify:track:13P5rwmk2EsoFRIz9UCeh9
['Hamesha - Satrangi - Pepsi Battle of the Bands Season 3'],not found
['Mountain Goats - No Children'],spotify:track:5cxnSTLzGD1t9xcdmJYFVB
['Years and Years - 1977'],spotify:track:255t2dDBiw8jIVQILhMjew
['Years and Years - Breathe'],spotify:track:1YqRxaBc1qOC0a82ZcPz0q
['Years and Years - Desire'],spotify:track:6JzCO4ZzxAXhY86vTcqM1Q
['Years and Years - Eyes Shut'],spotify:track:6k9iH2ZS4jMREnU33rjpS2
['Years and Years - Gold'],spotify:track:6Nyd3CPleCnS1xDnlv3WHI
['Years and Years - I Wish I Knew'],spotify:track:1nYaWfaVVYN3PivDyBZBI9
['Years and Years - King'],spotify:track:46iMzIoVmlfuorWb6ixZKm
['Years and Years - Meteorite'],spotify:track:6CuITtPAI0l5CIr86J2jNr
['Years and Years - Sanctify'],spotify:track:02S2X2wPkf2sCSQxns3Hlw
['Years and Years - Shine'],spotify:track:44PFoCMti0fOLKY7GJj1Cm
['Years and Years - Take Shelter'],spotify:track:4JCSs1IISiJgs0EmwN5qhT
['Years and Years - Traps'],not found
['Years and Years - Traps'],not found
['Years and Years - Without'],spotify:track:3cUQ3vgPtJqCK2IzhABt9C
['Years and Years - Worship'],spotify:track:3qGgddWnRpBtv3El69SnW3
['Years and Years - You & I'],spotify:track:0aAdPAlrBJqqqkkhttZIKU
